Company Name,Annual Revenue (US$ m)
Marksans Pharma Ltd,186.2393
Nantong Jinghua Pharmaceutical Co Ltd,185.7007
Hunan Fangsheng Pharmaceutical Co Ltd,185.3256
SeQuent Scientific Ltd,184.268
Korea United Pharm Inc,183.1846
Orient Europharma Co Ltd,182.8576
Kyongbo Pharmaceutical Co Ltd,182.6209
Zhuhai Rundu Pharmaceutical Co Ltd,181.5381
FDC Ltd,180.423
Krishna Institute of Medical Sciences Ltd,179.981
Shengtai Pharmaceutical Inc,179.0291
Hugel Inc,179.0185
Shandong Kexing Bioproducts Co Ltd,176.8511
Yungjin Pharm Co Ltd,176.8344
Bioneer Corp,175.5822
Australian Hearing Services,174.5834
Thomson Medical Group Ltd,174.3025
Chularat 3 International Hospital,173.9009
Ningbo MENOVO pharmaceutical Co Ltd,172.9972
Hainan Poly Pharm Co Ltd,172.2589
Beijing Tong Ren Tang Chinese Medicine Co Ltd,169.5951
Hainan Huluwa Pharmaceutical Group Co Ltd,168.3607
Global Cord Blood Corporation,168.0612
Koa Shoji Holdings Co Ltd,168.0523
Indoco Remedies Ltd,168.0165
Shin Poong Pharm Co Ltd,167.747
Unichem Laboratories Ltd,167.1514
Apex Healthcare Berhad,166.3799
"Tianjin Lisheng Pharmaceutical Co., Ltd.",165.3364
Sapporo Clinical Laboratory Inc,165.0948
Sirtex Medical Ltd,164.8152
Eris Lifesciences Ltd,164.002
Paragon Care Group Australia Pty Ltd,162.336
DHG Pharmaceutical JSC,162.0809
Star Lake Bioscience Co Inc,161.777
Beijing SL Pharmaceutical Co Ltd,161.2634
Tonghuajinma Pharmaceutical Group Co Ltd,161.1284
Morepen Laboratories Ltd,160.7802
Shukra Pharmaceuticals Ltd,160.3127
Navin Fluorine International Ltd,159.6078
Beijing Science Sun Pharmaceutical Co Ltd,158.5811
Zhejiang Jolly Pharmaceutical Co Ltd,158.096
Mia Helsa Co Ltd,158.0392
Lee's Pharmaceutical Holdings Ltd,156.8782
JOINN Laboratories China Co Ltd,155.926
Shanghai Kinetic Medical Co Ltd,153.8491
Sanjiu Yigong Biopharmaceutical & Chem,152.1627
CStone Pharmaceuticals Co Ltd,150.5532
Chengdu Kanghua Biological Products Co Ltd,150.5248
Hana Pharm Co Ltd,150.4038
Shenzhen Neptunus Interlong Bio-Technique Co Ltd,149.4716
WenZhou Kangning Hospital Co Ltd,149.4592
Dawnrays Pharmaceutical (Holdings) Ltd,148.4428
PharmaBlock Sciences Nanjing Inc,148.1464
Kyung Dong Pharmaceutical Co Ltd,147.4536
Cedar Co Ltd,147.2715
Standard Chem & Pharm Co Ltd,146.2343
Shandong Wohua Pharmaceutical Co Ltd,145.8068
Whan In Pharm Co Ltd,145.6534
AFC-HD AMS Life Science Co Ltd,145.5354
American Oriental Bioengineering Inc,145.0996
Lionco Pharmaceutical Group Co Ltd,145.0707
Shenzhen YHLO Biotechnology Co Ltd,144.7815
Bukwang Pharmaceutical Co Ltd,143.9181
LinkDoc Technology Ltd,143.7
Caplin Point Laboratories Ltd,143.6249
TTY Biopharm Co Ltd,143.396
Wai Yuen Tong Medicine Holdings Ltd,142.9337
Shin Nippon Biomedical Laboratories Ltd,142.532
Hunan Jiudian Pharmaceutical Co Ltd,141.7601
Sam Chun Dang Pharm Co Ltd,141.5451
Taiko Pharmaceutical Co Ltd,141.1701
Daihan Pharm Co Ltd,140.8814
ShareHope Medicine Co Ltd,139.2196
Qingdao Vland Biotech Group Co Ltd,139.1646
Bond University Ltd,138.8769
Town Health International Medical Group Ltd,137.8381
HealthCare Global Enterprises Ltd,136.5741
Procter & Gamble Health Ltd,136.5119
Jiangxi Sanxin Medtec Co Ltd,136.2858
Duopharma Biotech Berhad,135.7039
Yaizu Suisankagaku Industry Co Ltd,135.003
Zhuhai Hokai Medical Instruments Co Ltd,134.8149
Hainan Honz Pharmaceutical Co Ltd,133.5695
Shanghai Kaibao Pharmaceutical Co Ltd,131.5936
Chongqing Pharscin Pharmaceutical Group Co Ltd,127.893
Daehan New Pharm Co Ltd,126.828
Neuland Laboratories Ltd,126.7929
Monash IVF Group Ltd,126.3714
Essex Bio-Technology Ltd,126.1135
Chemical Company of Malaysia Bhd,125.8889
Zhejiang Shengda Bio-pharm Co Ltd,125.696
PT Darya-Varia Laboratoria Tbk,125.5948
Bajaj Consumer Care Ltd,124.7496
Comvita Ltd,124.4541
Sikarin Public Co Ltd,124.0315
Nobelpharma Co Ltd,123.3059
Beijing Strong Biotechnologies Inc,122.9139
Shanxi C&Y Pharmaceutical Co Ltd,122.9073
Jilin Jian Yisheng Pharmaceutical Co Ltd,122.1127
Shilpa Medicare Ltd,121.9503
Taiwan Hopax Chemicals Mfg Co Ltd,121.8914
I'rom Group Co Ltd,121.7374
Longlife Holding Co Ltd,121.715
Ahn-Gook Pharmaceutical Co Ltd,121.6122
Theragen Etex Co Ltd,121.3224
Shanghai Fudan-Zhangjiang Bio-Pharmaceutical Co Ltd,120.8392
Ind-Swift Laboratories Ltd,120.6261
Beijing Beilu Pharmaceutical Co Ltd,119.9023
Shigematsu Works Co Ltd,119.7942
Medytox Inc,119.4604
DongKoo Bio & Pharma Co Ltd,118.0933
PT Indofarma (Persero) Tbk,117.7619
Beijing Konruns Pharmaceutical Co Ltd,117.1931
Hai Nan Yedao (Group) Co Ltd,117.0854
Nissui Pharmaceutical Co Ltd,116.8135
Vivimed Labs Ltd,116.5828
Xiamen Amoytop Biotech Co Ltd,115.0613
Hyundai Pharma Co Ltd,114.1658
BrightGene Bio-Medical Technology Co Ltd,113.8219
Careplus Group Berhad,113.2558
Binex Co Ltd,112.8005
Kukje Pharmaceutical Industry Co Ltd,110.6106
REYON Pharmaceutical Co Ltd,110.3047
Ctcbio Inc,110.3027
PeptiDream Inc,110.1471
Astrazeneca Pharma India Ltd,110.0994
Chengdu Huasun Group IncLtd,110.043
Zhejiang Cheng Yi Pharmaceutical Co Ltd,109.8726
Kolon Life Science Inc,109.7777
The New Zealand Institute for Plant & Food Research Ltd,109.6681
Ocean Bright Co Ltd,109.2416
Myungmoon Pharm Co Ltd,108.4544
Kingworld Medicines Group Ltd,108.025
Hunan Hansen Pharmaceutical Co Ltd,107.4241
Beijing Bohui Innovation Technology Co Ltd,107.0589
Nanjing Well Pharmaceutical Co Ltd,106.6744
Korea Arlico Pharm Co Ltd,105.8723
CKD Bio Corp,105.695
Amoy Diagnostics Co Ltd,105.5623
TDM Berhad,105.4569
Zhongzhu Healthcare Holding Co Ltd,105.4295
ST Pharm Co Ltd,105.2782
Hwail Pharma Co Ltd,104.8578
TAKE Solutions Ltd,104.7478
ScinoPharm Taiwan Ltd,104.7126
Yuki Gosei Kogyo Co Ltd,104.6172
Hybio Pharmaceutical Co Ltd,104.5961
Aurisco Pharmaceutical Co Ltd,104.555
Formosa Laboratories Inc,104.4589
Samil Pharmaceutical Co Ltd,104.3369
TransGenic Inc,104.194
Synmosa Biopharma Corp,103.1963
Fresenius Kabi Oncology Ltd,102.7499
Nanjing Hicin Pharmaceutical Co Ltd,102.3602
Biofermin Pharmaceutical Co Ltd,101.9777
DIO Corp,101.8407
Excel Industries Ltd,101.4256
Viva Biotech Holdings,101.0069
Shenyang Sinqi Pharmaceutical Co Ltd,99.8076
Hubei Guangji Pharmaceutical Co Ltd,99.7332
Shinhung Co Ltd,98.9532
Zhejiang Dayang Biotech Group Co Ltd,98.308
Amicogen Inc,98.2778
Lutronic Corp,98.0305
Yomeishu Seizo Co Ltd,97.9445
JVM Co Ltd,97.9006
Linical Co Ltd,96.9608
Lanzhou Foci Pharmaceutical Co Ltd,96.8176
Shanghai Medicilon Inc,96.514
Green Cross Medical Science Corp,96.1753
Macrogen Inc,95.5187
Sunshine Guojian Pharmaceutical Shanghai Co Ltd,94.927
Kovai Medical Center and Hospital Ltd,93.427
Sewon Cellontech Co Ltd,93.1868
DAE HWA Pharmaceutical Co Ltd,92.7553
"PharmaResearch Products Co., Ltd.",92.2464
Zhejiang Wolwo Bio-Pharmaceutical Co Ltd,92.2028
GNI Group Ltd,92.1931
Shanghai Haoyuan Chemexpress Co Ltd,92.0422
Punjab Chemicals & Crop Protection Ltd,91.7784
Teyi Pharmaceutical Group Co Ltd,91.6936
"UBCare Co., Ltd.",91.46
SCI Pharmtech Inc,91.3403
Guizhou Sanli Pharmaceutical Co Ltd,91.3356
Zhejiang Wecome Pharmaceutical Co Ltd,90.2548
C-MER Eye Care Holdings Ltd,90.1964
Jilin Province Huinan Changlong Bio-pharmacy Co Ltd,90.1799
Garvan Institute of Medical Research,89.9662
Zhejiang Garden Biochemical High-tech Co Ltd,89.1138
Morishita Jintan Co Ltd,88.9402
Bajaj Healthcare Ltd,88.9099
JW Shinyak Corp,88.0532
Precision System Science Co Ltd,87.7115
Sanofi-Aventis Pakistan Ltd,87.4252
Tibet AIM Pharm Inc,87.3349
Ha Tay Pharmaceutical JSC,86.5932
TTK Healthcare Ltd,86.1416
Shanghai Henlius Biotech Inc,85.1562
Panacea Biotec Ltd,84.5558
Soiken Holdings Inc,84.3512
Bilcare Ltd,84.273
Wakamoto Pharmaceutical Co Ltd,83.911
Praram 9 Hospital,83.6391
Humedix Co Ltd,83.5388
Sosei Group Corp,83.4032
Yuyu Pharma Inc,83.2326
Indraprastha Medical Corp Ltd,83.0093
Probiotec Ltd,82.9423
Mahachai Hospital Public Company Ltd,82.2113
Jiangsu Jibeier Pharmaceutical Co Ltd,82.024
PharmGen Science Inc,81.9555
Vital Healthcare Property Trust,81.8798
Shifa International Hospitals Ltd,81.8518
Sinphar Pharmaceutical Co Ltd,81.1245
Perennial Real Estate Holdings Ltd,80.6135
Bliss GVS Pharma Ltd,78.1135
HLB Life Science Co Ltd,77.8689
Cellumed Co Ltd,77.6317
Euro-Med Laboratories Phil Inc,77.2312
Anhui Sunhere Pharmaceutical Excipients Co Ltd,76.9839
Icure Pharmaceutical Inc,76.4671
Cosmo Bio Co Ltd,76.3287
Megachem Ltd,76.3041
SMS Pharmaceuticals Ltd,76.2151
Wuhan Hiteck Bio-pharmaceutical Co Ltd,75.9588
Honliv Healthcare Management Group Company Limited,75.9472
SK Bioland Co Ltd,75.4106
"Aurora Optoelectronics Co., Ltd.",75.2968
HanAll Biopharma Co Ltd,75.1591
Astec LifeSciences Ltd,75.0911
Zhejiang Yatai Pharmaceutical Co Ltd,74.62
Dongsung Pharm Co Ltd,74.4785
Wonik Co Ltd,74.2193
Venus Remedies Ltd,74.1778
Daiken Medical Co Ltd,74.159
AFT Pharmaceuticals Ltd,73.4162
Jiangsu Sihuan Bioengineering Co Ltd,73.2452
Indo Amines Ltd,73.1505
Green Cross LabCell Corp,72.5804
Coland Holdings Limited,72.5018
Y.S.P. Southeast Asia Holding Berhad,70.7355
Healthway Medical Corp Ltd,70.6446
Fusen Pharmaceutical Co  Ltd,70.5575
National Seed Joint Stock Company,70.5422
Jacobio Pharmaceuticals Group Co Ltd,70.4752
"Universal Vision Biotechnology Co., Ltd.",69.7356
NeoPharm Co Ltd,69.2407
HansBiomed Co Ltd,68.7735
Far Eastern University Inc,68.7424
Beijing Leadman Biochemistry Co Ltd,68.3339
Bioleaders Corp,68.2462
Advanced Enzyme Technologies Ltd,67.9144
PT Phapros Tbk,67.3077
Thyrocare Technologies Ltd,66.9371
Kopran Ltd,66.5573
Highnoon Laboratories Ltd,66.2926
Gufic BioSciences Ltd,66.0005
Baotou Dongbao Biotech Co Ltd,65.0466
Carelabs Co Ltd,65.0342
Spring Pharmaceutical Group Inc,64.9427
Thai Nakarin Hospital Public Company Ltd,64.8532
China Medicine Corp,64.751
Hai-O Enterprise Berhad,64.6226
Green Cross Wellbeing Corp,64.1321
Adimmune Corp,63.4862
Singapore Medical Group Ltd,63.3266
Guanhao Biotech Co Ltd,63.3262
High Tech Pharm Co Ltd,63.1645
Jiangxi Synergy Pharmaceutical Co Ltd,63.1034
Domesco Medical Import-Export JS Corp,62.6618
Mediwelcome Healthcare Management & Technology Inc,62.65
Burning Rock Biotech Ltd,62.3039
Zhejiang Qianjiang Biochemical Co Ltd,62.2591
Savior Lifetec Corp,62.0628
Staidson (Beijing) Biopharmaceuticals Co Ltd,61.624
Unicocell Biomed Co Ltd,61.5369
Clover Corp Ltd,61.3787
Tianda Pharmaceuticals Ltd,61.1584
Bora Pharmaceuticals Co Ltd,61.123
Orchid Pharma Ltd,60.9069
Korea Pharma Co Ltd,60.6599
Healthia Ltd,60.6445
Kyung Nam Pharm Co Ltd,60.1821
Nonthavej Hospital Public Co Ltd,60.0586
Nang Kuang Pharmaceutical Co Ltd,59.6033
Zhejiang Ausun Pharmaceutical Co Ltd,59.3106
Imexpharm Corp,59.1
Anuh Pharma Ltd,58.4574
Lincoln Pharmaceuticals Ltd,57.4052
Sinsin Pharmaceutical Co Ltd,56.9437
KNC Laboratories Co Ltd,56.87
Korean Drug Co Ltd,56.6557
SDI Limited,56.1959
GemVax & KAEL Co Ltd,55.7004
Cho-A Pharm Co Ltd,55.443
SeouLin Bioscience Co Ltd,55.2101
Ferozsons Laboratories Ltd,55.0234
CMG Pharmaceutical Co Ltd,54.6797
Microbio Co Ltd,54.392
Lansen Pharmaceutical Holdings Ltd,54.386
Sewoon Medical Co Ltd,54.0598
GlaxoSmithKline Bangladesh Ltd,53.9029
Nawaloka Hospitals PLC,53.7701
Nitta Gelatin India Ltd,53.6254
Tianjin TEDA Biomedical Co Ltd,53.529
Fujian Cosunter Pharmaceutical Co Ltd,53.4035
Panion & Bf Biotech Inc,53.2792
Wanbury Ltd,53.1196
RPG Life Sciences Ltd,52.6625
Chunghwa Chemical Synthesis & Biotech Co Ltd,52.4285
"Daihan Scientific Co., Ltd.",52.1759
Sinil Pharmaceutical Co Ltd,52.1163
EstechPharma Co Ltd,52.0192
Shanghai Kindly Medical Instruments Co Ltd,51.9453
Zhejiang Shapuaisi Pharmaceutical Company Ltd,51.9168
Novartis India Ltd,51.6083
Mangalam Drugs and Organics Ltd,51.4446
JBM Healthcare Ltd,51.2079
Caregen Co Ltd,51.1468
Fermenta Biotech Ltd,51.0587
Lincon Pharmaceuticals Ltd,50.8962
Knotus Co Ltd,49.6409
Excelsior Biopharma Inc,49.0344
Zai Lab Ltd,48.958
Nanos Co Ltd,48.3237
BCWorld Pharm Co Ltd,48.2949
Shanghai Jiao Da Onlly Co Ltd,48.2169
Ind-Swift Ltd,48.1857
Djerriwarrh Health Services,48.1518
TMC Life Sciences Berhad,47.8674
HLB Co Ltd,47.6539
Sino Medical Sciences Technology Inc,47.4515
Aarey Drugs & Pharmaceuticals Ltd,47.1514
Burnet Institute,47.115
Pro Medicus Ltd,46.847
Olymvax Biopharmaceuticals Inc,46.392
Japan Hospice Holdings Inc,46.3792
Sogo Pharmaceutical Co Ltd,46.3667
Anhui Huangshan Capsule Co Ltd,46.293
Transpek Industry Ltd,45.9312
PCL Inc,45.5377
Neogen Chemicals Ltd,45.5273
Sama Pharm Co Ltd,45.5123
Aprogen pharmaceuticals Inc,45.23
Amrutanjan Health Care Ltd,45.0439
PT. Merck Tbk,45.0189
Aikchol Hospital Public Company Ltd,44.9881
Withus Pharmaceutical Co Ltd,44.9854
Syngen Biotech Co Ltd,44.5433
Seoul Pharma Co Ltd,44.307
Orient Bio Inc.,44.1276
Tenamyd Central Pharmaceutical,43.7084
Medical Data Vision Co Ltd,43.1989
Union Korea Pharm Co Ltd,42.7355
LegoChem Biosciences Inc,41.8994
Jiangsu Aidea Pharmaceutical Co Ltd,41.8916
ABPro Bio Co Ltd,41.8045
OPC Pharmaceutical,41.6719
Zim Laboratories Ltd,41.5821
Jin Yang Pharmaceutical Co Ltd,41.4039
Jilin Zixin Pharmaceutical Industrial Co Ltd,41.3813
MediPost Co Ltd,41.2472
"Zhejiang Xinguang Pharmaceutical Co., Ltd.",41.0255
Samsung Pharmaceutical Industry Corp Ltd,40.9455
Shandong Sinobioway Biomedicine Co Ltd,40.1198
Venus Medtech Hangzhou Inc,40.0062
Tus-Guhan Group Corp Ltd,39.8676
Shenzhen Chipscreen Biosciences Co Ltd,39.053
Hainan Shuangcheng Pharmaceuticals Co Ltd,39.049
Beihai Gofar Marine Biological Industry Co Ltd,38.7965
MiCo BioMed Co Ltd,38.7423
Cell Biotech Co Ltd,38.6663
iNtRON Biotechnology Inc,38.5398
Dairy Australia,38.2491
Kotra Industries Berhad,38.0089
Biotechnology Industry Research Assistance Council,37.8285
Guangzhou Boji Medical & Biotechnological Co Ltd,37.7485
Shanghai Hile Bio-Technology Co Ltd,37.5543
Kaya Ltd,37.2114
The Lanka Hospitals Corp PLC,37.0181
Gansu Longshenrongfa Pharmaceutical Industry Co Ltd,36.9415
Oscotec Inc,36.8752
Kunming Longjin Pharmaceutical Co Ltd,36.8149
Cordlife Group Ltd,36.6995
Silk Laser Australia Ltd,36.6873
GtreeBNT Co Ltd,36.4162
EirGenix Inc,36.4053
Maywufa Company Ltd,36.1841
Ben Tre Pharmaceutical,36.0969
Alteogen Inc,35.9888
SMS Lifesciences India Ltd,35.9427
PharmaEngine Inc,35.8678
PW Medtech Group Limited,35.8476
Kwality Pharmaceuticals Ltd,35.4585
HitGen Inc,35.3039
GeneOne Life Science Inc,35.2057
NGL Fine-Chem Ltd,34.9118
Green Cross Cell Corp,34.6398
Fureasu Co Ltd,34.6384
Ilsung Pharmaceutical Co Ltd,34.4406
Dynamic Medical Technologies Inc.,34.2815
Sun Pharma Advanced Research Company Ltd,34.2332
Jiwa Bio-Pharm Holdings Ltd,34.1854
Hudson Institute of Medical Research,34.0219
Albert David Ltd,33.4875
Syn-Tech Chem & Pharm Co Ltd,33.4147
"Chi Sheng Pharma & Biotech Co., Ltd",33.2642
Clinuvel Pharmaceuticals Ltd,33.2561
Syncom Formulations (India) Ltd,33.1296
Kato Hong Kong Holdings Ltd??,33.076
Chemcon Speciality Chemicals Ltd,32.9512
Cogstate Ltd,32.6966
Tibet Pharmaceuticals Inc,32.365
Mesoblast Ltd,32.156
China NT Pharma Group Co Ltd,32.1345
Pharmicell Co Ltd,32.0241
Vita Life Sciences Ltd,31.9919
BIT Computer Co Ltd,31.6258
Komipharm International Co Ltd,31.5223
Medical Net Communications Inc.,31.4157
"Data Horizon Co., Ltd.",31.4109
Themis Medicare Ltd,31.2166
C-TRI Co Ltd,30.9958
Jiangxi Nature Pharmaceutical Co Ltd,30.704
Hunan China Sun Pharmaceutical Machinery Co Ltd,30.5356
Ceylon Hospitals PLC,30.1726
China Reform Health Management And Services Group Co Ltd,30.0535
Hangzhou TianMuShan Pharmaceutical Enterprise Co Ltd,29.9456
Vidipha Central Pharmaceutical,29.6264
Anxo Pharmaceutical Co Ltd,29.4177
Accretive Co Ltd,29.3361
Aida Pharmaceuticals Inc,29.2038
SunMax Biotechnology Co Ltd,29.0692
Hester Biosciences Ltd,29.0056
Cuu Long Pharmaceutical Joint Stock Corp,28.9689
Vimta Labs Ltd,28.5113
SymBio Pharmaceuticals Ltd,28.1757
Ina Research Inc,27.6307
Bionet Corp,27.3956
Lasa Supergenerics Ltd,27.3881
Yong Tai Berhad,27.2145
Dharamsi Morarji Chemical Co Ltd,27.0861
JenKem Technology Co Ltd,27.0464
Uni-Bio Science Group Ltd,26.9187
Bio-Thera Solutions Ltd,26.8097
Medifron DBT Co Ltd,26.6484
CrystalGenomics Inc,25.6378
Jagsonpal Pharmaceuticals Ltd,25.4348
Centro Escolar University,25.408
Jack Chia Industries (Thailand) Public Company Ltd,25.3305
National Prescribing Service Ltd,25.1399
TCM Biotech International Corp,25.0351
Industrial Technology Research Institute,24.835
Compumedics Ltd,24.5991
Everest Organics Ltd,24.5715
TaiMed Biologics Inc,24.5394
Center Laboratories Inc,24.3547
Bal Pharma Ltd,24.348
Mezzion Pharma Co Ltd,24.2897
WDB Coco Co Ltd,24.2489
Samrat Pharmachem Ltd,24.2266
Eubiologics Co Ltd,24.1671
"CU Medical Systems, Inc.",24.022
U&I Corp,23.5609
Asiri Surgical Hospital PLC,23.0135
Azure Healthcare Limited,22.9723
Nestle SA,89870.0053
BASF SE,67429.3206
Roche,62144.9121
Novartis AG,49898
Bayer AG,47195.6224
GlaxoSmithKline Plc,43733.4872
Sanofi,42600.3192
Fresenius SE & Co KGaA,41355.4492
Medtronic Plc,30117
AstraZeneca Plc,26617
Heraeus Holding GmbH,25077.6961
Umicore NV/SA,23609.3434
Air Liquide SA,23352.9412
Boehringer Ingelheim International GmbH,22305.6718
Fresenius Medical Care AG & Co KGaA,20359.1689
Johnson Matthey Plc,20101.321
Merck KGaA,19988.6001
Novo Nordisk AS,19416.6412
Reckitt Benckiser Group Plc,17946.6461
Syngenta AG,14287
Evonik Industries AG,13906.7487
Solvay SA,11073.8714
Akzo Nobel NV,9724.1222
Kedrion SpA,9269.7912
Royal DSM NV,9240.7661
Protek Group,9020.2831
Arkema SA,8987.6881
B. Braun Melsungen AG,8466.1459
Beiersdorf AG,8008.4359
Fresenius Kabi AG,7952.794
Lanxess AG,6958.5043
Alcon Inc,6833
Eurofins Scientific SE,6200.1824
UCB SA,6095.5312
Grifols SA,6087.5946
Wacker Chemie AG,5349.0652
Les Laboratoires Servier SAS,5344.4235
GEA Group AG,5283.9193
Bureau Veritas SA,5245.098
Perrigo Co Plc,5063.3
Lonza Group Ltd,4803.4097
Helm AG,4698.031
Ramsay Generale de Sante,4585.7273
Smith & Nephew Plc,4560
Sanofi-Aventis Deutschland GmbH,4478.6862
Orpea SA,4471.4911
Clariant International Ltd,4337.0787
A. Menarini Industrie Farmaceutiche Riunite Srl,4275.0828
Roquette Freres SA,4142.298
Symrise AG,4013.282
Mediclinic International Plc,3841.221
Galenica AG,3707.7816
Tate & Lyle PLC,3600.1026
Intertek Group Plc,3516.3524
GIZ Gmbh,3448.5668
Sana Kliniken Berlin-Brandenburg GmbH,3345.5378
Getinge AB,3240.5616
Steris Plc,3107.519
Ipsen SA,3062.2435
AAK AB,3035.7104
Selcuk Ecza Deposu Ticaret ve Sanayi AS,2998.3458
Endo International Plc,2903.074
Galderma SA,2820.4883
ICON Plc,2797.288
Coloplast A/S,2780.9187
Paul Hartmann AG,2773.6389
Mallinckrodt Plc,2749.4
Laboratoires Pierre Fabre SA,2711.5259
H. Lundbeck AS,2702.9673
Sartorius AG,2662.6277
University of Cambridge,2661.2029
Fraunhofer-Gesellschaft zur Forderung der Angewandten Forschung eV,2569.3443
Octapharma AG,2478.7623
Schott AG,2452.2404
Neuca SA,2376.0531
Jazz Pharmaceuticals Plc,2363.567
Hikma Pharmaceuticals Plc,2341
Chiesi Farmaceutici SpA,2231.0193
Horizon Therapeutics Plc,2200.429
Guy's and St Thomas' NHS Foundation Trust,2185.0619
Apoteket AB,2150.4015
Novozymes AS,2143.163
Uniphar plc,2079.1769
Oriola-KD Oyj,2052.8956
Molnlycke Health Care AB,2044.0596
Svenska Cellulosa Aktiebolaget,2000.6955
Qiagen NV,1870.346
Richter Gedeon Nyrt,1843.0122
Vifor Pharma Ltd,1817.3681
Croda International Plc,1783.1217
KRKA Tovarna Zdravil dd,1749.8187
Healthcare at Home Ltd,1723.5884
Constantia Flexibles Group GmbH,1710.0331
Bracco SpA,1679.31
Swedish Orphan Biovitrum AB,1658.4799
Recordati SpA,1651.6952
Gerresheimer AG,1588.4304
Charite University Hospital of Berlin,1572.3436
Rhon-Klinikum AG,1550.5689
Leo Pharma AS,1549.8567
Genmab AS,1546.4974
Elekta AB,1495.6856
Syntegon Packaging Technology GmbH,1482.0287
Grunenthal GmbH,1459.2283
Catholic University of Leuven,1311.7681
Mehilainen Oy,1301.1294
UDG Healthcare Plc,1279.194
Astellas Pharma Europe Ltd,1256.6488
Orion Corp,1229.0242
Merz Pharma GmbH & Co KgaA,1224.5528
Recipharm AB,1202.8796
Alfasigma SpA,1175.517
BMI Healthcare Ltd,1172.2562
Corbion NV,1124.601
Terveystalo Healthcare Oyj,1124.487
SOL SpA,1110.1607
Orifarm Group A/S,1098.889
3M United Kingdom PLC,1087.954
Chr. Hansen Holding AS,1085.983
Alkermes Plc,1038.756
Nolato AB,1017.0836
Perstorp Holding AB,999.1576
CompuGroup Medical SE & Co. KGaA,954.4676
Almirall SA,920.4594
Tilburg University,907.4297
Dermapharm Holding SE,904.9578
University of Bristol,902.413
Siegfried Holding AG,900.439
The University of Nottingham,885.4266
Novartis Pharmaceuticals UK Ltd,871.9278
Almac Group Ltd,868.62
Zambon Co SpA,860.9263
Sopharma AD,845.3048
Gelita AG,838.5355
Pennine Acute Hospitals NHS Trust,829.4042
London North West Healthcare NHS Trust,825.9707
NTG Nordic Transport Group AS,815.5705
Guerbet SA,812.0098
Nuffield Health,797.7581
Stada Arzneimittel AG,779.5163
Pfizer Ltd (UK),772.9468
Mediclin AG,764.9275
Stevanato Group SpA,754.7161
University of Liverpool,737.3748
Janssen-Cilag Ltd,734.9803
AO Foundation,727.74
Phylaxia 1912 Holding Nyrt,726.548
Spire Healthcare Group Plc,714.6338
Nutricia Ltd,713.8559
Aevis Victoria SA,683.2328
Ivoclar Vivadent AG,681.9233
Podravka dd,681.7685
Sopharma Trading AD Sofia,679.3075
Laboratoires Thea SA,670.6045
Dechra Pharmaceuticals Plc,657.4724
Renishaw Plc,651.1997
Ercros SA,648.4234
Indivior Plc,647
Avebe U.A.,645.5268
Clinigen Group Plc,643.6503
Grupo Ferrer Internacional S.A.,634.9923
Fagron NV,633.8019
Cegeka NV,628.0619
HCA International Ltd,627.2728
Amarin Corp Plc,614.06
Galapagos NV,604.4916
Medika dd,604.0085
Boiron SA,585.4788
Pihlajalinna Oyj,579.8928
AddLife AB,573.0727
Evotec SE,571.0488
Biotest AG,551.9836
BioNTech SE,549.8461
London School of Economics and Political Science,539.8334
Neuraxpharm Holdco Iberia SL,537.3792
ALK-Abello AS,533.9553
GW Pharmaceuticals Ltd,527.205
Advanz Pharma Corp Ltd,525.584
West Hertfordshire Hospitals NHS Trust,504.9154
Wipak Group,503.793
Vetoquinol SA,487.3085
Laboratorios Farmaceuticos Rovi SA,478.7517
Norgine BV,469.0873
Colep Portugal SA,459.2876
Trinity College Dublin,452.338
Gr. Sarantis SA,448.4443
Faes Farma SA,433.4701
Ypsomed Holding AG,430.1076
Bachem Holding AG,428.3378
Air Products plc,424.9986
Mawdsley-Brooks & Co Ltd,420.6803
Personalis UK Ltd,411.7326
Oxford Instruments Plc,408.4904
Midsona AB,403.0733
Southern Health NHS Foundation Trust,400.218
SINTEF,396.0501
Aalto University,391.0276
University of Bath,381.8209
MorphoSys AG,373.5733
Acino International AG,366.7486
Arco Ltd,361.015
Chiesi Ltd,349.3341
Stallergenes Greer Ltd,344.9114
ViiV Healthcare UK Ltd,338.4074
Wockhardt Bio AG,337.32
Abcam Plc,331.8443
K.U. Leuven Research & Development,327.1863
Simplyhealth Group Ltd,322.2904
Alcura UK Ltd,321.9248
Xellia Pharmaceuticals ApS,318.1
Karo Pharma AB,313.2938
Marcolin SpA,308.7546
Pharma Mar SA,307.7531
Stratec SE,285.1106
Bavarian Nordic A/S,283.3256
Servizi Italia SpA,273.7802
Raisio plc,266.3019
Deva Holding AS,265.7001
Laboratorio Reig Jofre SA,262.288
Diagnostic & Therapeutic Center of Athens Hygeia SA,257.9868
Activotec Ltd,257.1124
Accord Healthcare Ltd,252.9034
Umanis SA,244.9487
Vectura Group Plc,244.453
BCM Ltd,239.8919
Aesica Pharmaceuticals Ltd (Inactive),237.1664
Garofalo Health Care SpA,235.725
Dottikon ES Holding AG,233.2392
Alkaloid AD Skopje,226.409
Athens Medical CSA,224.4254
PCAS,221.2893
The Boots Company Plc,220.8168
Eurobio Scientific SA,215.2941
Vaccibody AS,215
Pharming Group NV,211.6895
VWR International Ltd,210.6515
Randox Laboratories Ltd,202.6726
Fine Foods & Pharmaceuticals NTM SpA,196.0271
